,o,d,Buckets
0,0.05,0.4,2.0
1,0.1,0.4,2.0
2,0.15,0.4,
3,0.2,0.4,2.0
4,0.25,0.4,2.0
5,0.3,0.4,1.95
6,0.35,0.4,
7,0.4,0.4,0.0
8,0.05,0.45,2.0
9,0.1,0.45,2.0
10,0.15,0.45,
11,0.2,0.45,2.05
12,0.25,0.45,2.45
13,0.3,0.45,2.1
14,0.35,0.45,
15,0.4,0.45,1.2
16,0.05,0.5,2.05
17,0.1,0.5,2.0
18,0.15,0.5,
19,0.2,0.5,2.0
20,0.25,0.5,2.15
21,0.3,0.5,2.05
22,0.35,0.5,
23,0.4,0.5,1.3
24,0.05,0.55,2.15
25,0.1,0.55,2.1
26,0.15,0.55,
27,0.2,0.55,2.65
28,0.25,0.55,2.25
29,0.3,0.55,1.85
30,0.35,0.55,
31,0.4,0.55,1.2
32,0.05,0.6,2.45
33,0.1,0.6,3.95
34,0.15,0.6,
35,0.2,0.6,4.1
36,0.25,0.6,2.35
37,0.3,0.6,1.8
38,0.35,0.6,
39,0.4,0.6,1.2
40,0.05,0.65,
41,0.1,0.65,
42,0.15,0.65,
43,0.2,0.65,
44,0.25,0.65,
45,0.3,0.65,
46,0.35,0.65,
47,0.4,0.65,
48,0.05,0.7,7.75
49,0.1,0.7,8.5
50,0.15,0.7,
51,0.2,0.7,3.65
52,0.25,0.7,2.4
53,0.3,0.7,1.2
54,0.35,0.7,
55,0.4,0.7,1.05
56,0.05,0.75,9.5
57,0.1,0.75,7.4
58,0.15,0.75,
59,0.2,0.75,2.65
60,0.25,0.75,1.75
61,0.3,0.75,1.15
62,0.35,0.75,
63,0.4,0.75,1.1
64,0.05,0.8,
65,0.1,0.8,
66,0.15,0.8,
67,0.2,0.8,
68,0.25,0.8,
69,0.3,0.8,
70,0.35,0.8,
71,0.4,0.8,
72,0.05,0.85,
73,0.1,0.85,
74,0.15,0.85,
75,0.2,0.85,
76,0.25,0.85,
77,0.3,0.85,
78,0.35,0.85,
79,0.4,0.85,
80,0.05,0.9,
81,0.1,0.9,
82,0.15,0.9,
83,0.2,0.9,
84,0.25,0.9,
85,0.3,0.9,
86,0.35,0.9,
87,0.4,0.9,
