,o,d,Buckets
0,0.05,0.4,8.85
1,0.1,0.4,8.85
2,0.15,0.4,
3,0.2,0.4,8.55
4,0.25,0.4,8.45
5,0.3,0.4,8.25
6,0.35,0.4,
7,0.4,0.4,0.0
8,0.05,0.45,9.25
9,0.1,0.45,8.7
10,0.15,0.45,
11,0.2,0.45,8.3
12,0.25,0.45,8.65
13,0.3,0.45,8.2
14,0.35,0.45,
15,0.4,0.45,8.15
16,0.05,0.5,9.45
17,0.1,0.5,9.4
18,0.15,0.5,
19,0.2,0.5,8.6
20,0.25,0.5,8.25
21,0.3,0.5,8.55
22,0.35,0.5,
23,0.4,0.5,8.1
24,0.05,0.55,23.7
25,0.1,0.55,23.25
26,0.15,0.55,
27,0.2,0.55,22.35
28,0.25,0.55,22.0
29,0.3,0.55,21.3
30,0.35,0.55,
31,0.4,0.55,13.6
32,0.05,0.6,40.25
33,0.1,0.6,34.25
34,0.15,0.6,
35,0.2,0.6,28.65
36,0.25,0.6,29.15
37,0.3,0.6,28.6
38,0.35,0.6,
39,0.4,0.6,18.75
40,0.05,0.65,
41,0.1,0.65,
42,0.15,0.65,
43,0.2,0.65,
44,0.25,0.65,
45,0.3,0.65,
46,0.35,0.65,
47,0.4,0.65,
48,0.05,0.7,71.9
49,0.1,0.7,56.05
50,0.15,0.7,
51,0.2,0.7,29.9
52,0.25,0.7,28.0
53,0.3,0.7,25.55
54,0.35,0.7,
55,0.4,0.7,8.35
56,0.05,0.75,82.2
57,0.1,0.75,65.05
58,0.15,0.75,
59,0.2,0.75,31.1
60,0.25,0.75,26.0
61,0.3,0.75,18.75
62,0.35,0.75,
63,0.4,0.75,5.9
64,0.05,0.8,
65,0.1,0.8,
66,0.15,0.8,
67,0.2,0.8,
68,0.25,0.8,
69,0.3,0.8,
70,0.35,0.8,
71,0.4,0.8,
72,0.05,0.85,
73,0.1,0.85,
74,0.15,0.85,
75,0.2,0.85,
76,0.25,0.85,
77,0.3,0.85,
78,0.35,0.85,
79,0.4,0.85,
80,0.05,0.9,
81,0.1,0.9,
82,0.15,0.9,
83,0.2,0.9,
84,0.25,0.9,
85,0.3,0.9,
86,0.35,0.9,
87,0.4,0.9,
