,o,d,Run,Buckets,issues,l_steps,CI2,n_agents,p
0,0.05,0.4,3,2,3,1500,True,100,0.2
1179,0.3,0.6,3,2,3,1500,True,100,0.2
1178,0.3,0.6,3,4,3,1500,True,100,0.2
1177,0.3,0.6,3,2,3,1500,True,100,0.2
1176,0.3,0.6,3,3,3,1500,True,100,0.2
1175,0.3,0.6,3,1,3,1500,True,100,0.2
1174,0.3,0.55,3,2,3,1500,True,100,0.2
1173,0.3,0.55,3,2,3,1500,True,100,0.2
1172,0.3,0.55,3,2,3,1500,True,100,0.2
1171,0.3,0.55,3,2,3,1500,True,100,0.2
1170,0.3,0.55,3,1,3,1500,True,100,0.2
1169,0.3,0.55,3,1,3,1500,True,100,0.2
1168,0.3,0.55,3,2,3,1500,True,100,0.2
1167,0.3,0.55,3,2,3,1500,True,100,0.2
1166,0.3,0.55,3,2,3,1500,True,100,0.2
1165,0.3,0.55,3,2,3,1500,True,100,0.2
1164,0.3,0.5,3,2,3,1500,True,100,0.2
1163,0.3,0.5,3,2,3,1500,True,100,0.2
1162,0.3,0.5,3,2,3,1500,True,100,0.2
1161,0.3,0.55,3,2,3,1500,True,100,0.2
1160,0.3,0.55,3,2,3,1500,True,100,0.2
1159,0.3,0.5,3,2,3,1500,True,100,0.2
1158,0.3,0.5,3,2,3,1500,True,100,0.2
1157,0.3,0.55,3,1,3,1500,True,100,0.2
1180,0.3,0.6,3,3,3,1500,True,100,0.2
1181,0.3,0.6,3,1,3,1500,True,100,0.2
1182,0.3,0.55,3,2,3,1500,True,100,0.2
1183,0.3,0.6,3,3,3,1500,True,100,0.2
1207,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1206,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1205,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1204,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1203,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1202,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1201,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1200,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1199,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1198,0.3,0.6,3,2,3,1500,True,100,0.2
1197,0.3,0.6,3,1,3,1500,True,100,0.2
1156,0.3,0.55,3,2,3,1500,True,100,0.2
1196,0.3,0.55,3,2,3,1500,True,100,0.2
1194,0.3,0.6,3,1,3,1500,True,100,0.2
1193,0.3,0.6,3,2,3,1500,True,100,0.2
1192,0.3,0.6,3,3,3,1500,True,100,0.2
1191,0.3,0.6,3,1,3,1500,True,100,0.2
1190,0.3,0.6,3,1,3,1500,True,100,0.2
1189,0.3,0.55,3,2,3,1500,True,100,0.2
1188,0.3,0.6,3,1,3,1500,True,100,0.2
1187,0.3,0.6,3,1,3,1500,True,100,0.2
1186,0.3,0.55,3,2,3,1500,True,100,0.2
1185,0.3,0.6,3,1,3,1500,True,100,0.2
1184,0.3,0.6,3,2,3,1500,True,100,0.2
1195,0.3,0.6,3,1,3,1500,True,100,0.2
1208,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1155,0.3,0.5,3,2,3,1500,True,100,0.2
1153,0.3,0.5,3,2,3,1500,True,100,0.2
1124,0.3,0.45,3,2,3,1500,True,100,0.2
1123,0.3,0.45,3,2,3,1500,True,100,0.2
1122,0.3,0.45,3,2,3,1500,True,100,0.2
1121,0.3,0.45,3,1,3,1500,True,100,0.2
1120,0.3,0.45,3,1,3,1500,True,100,0.2
1119,0.3,0.4,3,2,3,1500,True,100,0.2
1118,0.3,0.4,3,2,3,1500,True,100,0.2
1117,0.3,0.45,3,2,3,1500,True,100,0.2
1116,0.3,0.4,3,2,3,1500,True,100,0.2
1115,0.3,0.4,3,2,3,1500,True,100,0.2
1114,0.3,0.4,3,2,3,1500,True,100,0.2
1113,0.3,0.4,3,2,3,1500,True,100,0.2
1112,0.3,0.4,3,2,3,1500,True,100,0.2
1111,0.3,0.4,3,2,3,1500,True,100,0.2
1110,0.3,0.4,3,2,3,1500,True,100,0.2
1109,0.3,0.4,3,2,3,1500,True,100,0.2
1108,0.3,0.4,3,1,3,1500,True,100,0.2
1107,0.3,0.4,3,2,3,1500,True,100,0.2
1106,0.3,0.4,3,2,3,1500,True,100,0.2
1105,0.3,0.4,3,2,3,1500,True,100,0.2
1104,0.3,0.4,3,2,3,1500,True,100,0.2
1103,0.3,0.4,3,2,3,1500,True,100,0.2
1102,0.3,0.4,3,2,3,1500,True,100,0.2
1125,0.3,0.45,3,2,3,1500,True,100,0.2
1126,0.3,0.45,3,2,3,1500,True,100,0.2
1127,0.3,0.4,3,2,3,1500,True,100,0.2
1128,0.3,0.45,3,2,3,1500,True,100,0.2
1152,0.3,0.5,3,2,3,1500,True,100,0.2
1151,0.3,0.5,3,2,3,1500,True,100,0.2
1150,0.3,0.5,3,2,3,1500,True,100,0.2
1149,0.3,0.5,3,2,3,1500,True,100,0.2
1148,0.3,0.5,3,2,3,1500,True,100,0.2
1147,0.3,0.5,3,3,3,1500,True,100,0.2
1146,0.3,0.5,3,2,3,1500,True,100,0.2
1145,0.3,0.5,3,2,3,1500,True,100,0.2
1144,0.3,0.5,3,2,3,1500,True,100,0.2
1143,0.3,0.5,3,2,3,1500,True,100,0.2
1142,0.3,0.5,3,2,3,1500,True,100,0.2
1154,0.3,0.55,3,2,3,1500,True,100,0.2
1141,0.3,0.5,3,2,3,1500,True,100,0.2
1139,0.3,0.5,3,2,3,1500,True,100,0.2
1138,0.3,0.45,3,3,3,1500,True,100,0.2
1137,0.3,0.45,3,3,3,1500,True,100,0.2
1136,0.3,0.45,3,2,3,1500,True,100,0.2
1135,0.3,0.45,3,2,3,1500,True,100,0.2
1134,0.3,0.45,3,2,3,1500,True,100,0.2
1133,0.3,0.45,3,2,3,1500,True,100,0.2
1132,0.3,0.45,3,3,3,1500,True,100,0.2
1131,0.3,0.45,3,2,3,1500,True,100,0.2
1130,0.3,0.45,3,2,3,1500,True,100,0.2
1129,0.3,0.45,3,3,3,1500,True,100,0.2
1140,0.3,0.45,3,2,3,1500,True,100,0.2
1101,0.3,0.4,3,2,3,1500,True,100,0.2
1209,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1211,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1289,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1288,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1287,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1286,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1285,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1284,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1283,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1282,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1281,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1280,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1279,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1278,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1277,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1276,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1275,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1274,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1273,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1272,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1271,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1270,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1269,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1268,0.3,0.7999999999999999,3,3,3,1500,True,100,0.2
1267,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1290,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1291,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1292,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1293,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1317,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1316,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1315,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1314,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1313,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
